sequence_name,identified_by,vs2_score,vs2_group,dvf_score,dvf_pvalue,consensus
k141_162846,DeepVirFinder_only,,,0.1175020933151245,0.1799984893118815,False
k141_163997,DeepVirFinder_only,,,9.793226126930676e-06,0.782404260140494,False
k141_14548,DeepVirFinder_only,,,0.0147149115800857,0.315884885565375,False
k141_51573,DeepVirFinder_only,,,0.0420443192124366,0.2461477452979832,False
k141_109165,DeepVirFinder_only,,,0.0059263478033244,0.3804101518241559,False
k141_52251,DeepVirFinder_only,,,6.91237291903235e-05,0.6805272301533348,False
k141_156001,DeepVirFinder_only,,,0.0112598119303584,0.3348440214517713,False
k141_103783,DeepVirFinder_only,,,1.0391250953034614e-06,0.870024171009895,False
k141_15094,DeepVirFinder_only,,,0.0001253030786756,0.6453281969937307,False
k141_129705,DeepVirFinder_only,,,8.793502956905286e-07,0.8752738122214668,False
k141_18149,DeepVirFinder_only,,,0.0001897881593322,0.6186456681018204,False
k141_112990,DeepVirFinder_only,,,0.0044418410398066,0.4014276002719238,False
k141_6777,DeepVirFinder_only,,,0.044712945818901,0.2419178185663569,False
k141_90231,DeepVirFinder_only,,,0.0275470316410064,0.2736045018505929,False
k141_175496,DeepVirFinder_only,,,2.3812123117750161e-07,0.9111904222373292,False
k141_89781,DeepVirFinder_only,,,0.0010059312917292,0.5083276682528892,False
k141_170335,DeepVirFinder_only,,,0.0850093364715576,0.1995052496412115,False
k141_174943,DeepVirFinder_only,,,0.004848291631788,0.3948561069567188,False
k141_64318,DeepVirFinder_only,,,0.6834717392921448,0.0345003399048266,False
k141_180720,DeepVirFinder_only,,,4.878550953435479e-06,0.813014578140343,False
k141_64113,DeepVirFinder_only,,,0.3079170286655426,0.1172482815922652,False
k141_118359,DeepVirFinder_only,,,3.100899630226195e-05,0.7259422917138757,False
k141_55393,DeepVirFinder_only,,,0.8635953664779663,0.0206397764181584,False
k141_36383,DeepVirFinder_only,,,0.0016932223225012,0.4715990633733665,False
k141_154553,DeepVirFinder_only,,,0.0001899594790302,0.618551250094418,False
k141_149563,DeepVirFinder_only,,,0.5625767111778259,0.0465291940478888,False
k141_89300,DeepVirFinder_only,,,7.366642194028827e-07,0.8803912682226754,False
k141_58591,DeepVirFinder_only,,,1.575615351612214e-05,0.7603482136112999,False
k141_172875,DeepVirFinder_only,,,3.973813722524255e-09,0.9743938363924768,False
k141_143974,DeepVirFinder_only,,,0.0102978609502315,0.3418309539995467,False
k141_178818,DeepVirFinder_only,,,0.0022116298787295,0.4525643930810484,False
k141_136082,DeepVirFinder_only,,,2.945842243207153e-05,0.728340509101896,False
k141_139059,DeepVirFinder_only,,,0.8199985027313232,0.0237366870609562,False
k141_137454,DeepVirFinder_only,,,3.257751188812108e-07,0.9029382883903618,False
k141_30194,DeepVirFinder_only,,,6.827364359196508e-06,0.7979643477604048,False
k141_146671,DeepVirFinder_only,,,0.035594142973423,0.2572135357655412,False
k141_162807,DeepVirFinder_only,,,0.0007659418624825,0.5270790845230002,False
k141_87430,DeepVirFinder_only,,,0.0341157652437686,0.2598005891683662,False
k141_66684,DeepVirFinder_only,,,0.0014307218370959,0.4836845683208701,False
k141_23812,DeepVirFinder_only,,,0.2645437121391296,0.1283896064657451,False
k141_85210,Both,0.6,dsDNAphage,0.0215476490557193,0.2896744467104766,True
k141_21569,DeepVirFinder_only,,,0.0051238066516816,0.3911171538635848,False
k141_117180,DeepVirFinder_only,,,0.0408005192875862,0.2481871742578744,False
k141_57352,DeepVirFinder_only,,,0.0500362627208232,0.2343077271697258,False
k141_164301,DeepVirFinder_only,,,0.015121953561902,0.3139398746128862,False
k141_141755,DeepVirFinder_only,,,0.0003989497781731,0.5714744316035955,False
k141_143176,DeepVirFinder_only,,,0.0001246641913894,0.6456114510159378,False
k141_146440,DeepVirFinder_only,,,1.8526742640023739e-10,0.9916723317471108,False
k141_102873,Both,0.813,ssDNA,0.4295321404933929,0.0891872497922803,True
k141_1909,DeepVirFinder_only,,,0.8990446925163269,0.0177128181886849,False
k141_1123,DeepVirFinder_only,,,1.3899457940169668e-07,0.9230304403655866,False
k141_166110,DeepVirFinder_only,,,0.4765493273735046,0.0752133846967293,False
k141_60257,DeepVirFinder_only,,,0.0830222368240356,0.2011858901729737,False
k141_120758,Both,0.847,ssDNA,0.0009223715169355,0.5145026059370043,True
k141_64675,DeepVirFinder_only,,,0.030628053471446,0.2664853840924541,False
k141_79595,DeepVirFinder_only,,,6.380687409546226e-05,0.6855880353501019,False
k141_46077,DeepVirFinder_only,,,0.0652879849076271,0.2169159302062089,False
k141_56172,DeepVirFinder_only,,,0.0005972239887341,0.5444708814865171,False
k141_180319,DeepVirFinder_only,,,5.161625085747801e-05,0.6975980058916836,False
k141_102514,DeepVirFinder_only,,,0.0266279634088277,0.2757383488178865,False
