contig_id,contig_length,mapped_reads,total_reads,rpm,rpkm
k141_55290||full,1373,59,4998642,11.8032,8.5967
k141_176418||full,2677,115,4998642,23.0062,8.5940
k141_78680||lt2gene,1282,55,4998642,11.0030,8.5827
k141_61329||lt2gene,1283,55,4998642,11.0030,8.5760
k141_55320||lt2gene,1704,73,4998642,14.6040,8.5704
k141_83886||full,3246,139,4998642,27.8076,8.5667
k141_73834||full,2595,111,4998642,22.2060,8.5572
k141_148550||full,2198,94,4998642,18.8051,8.5556
k141_28134||full,983,42,4998642,8.4023,8.5476
k141_86943||full,1733,74,4998642,14.8040,8.5424
k141_82180||full,2038,87,4998642,17.4047,8.5401
k141_166143||full,1571,67,4998642,13.4036,8.5319
k141_26831||full,4403,187,4998642,37.4102,8.4965
k141_108509||full,1295,55,4998642,11.0030,8.4965
k141_25346||full,1390,59,4998642,11.8032,8.4915
k141_157937||full,1296,55,4998642,11.0030,8.4900
k141_3784||full,1415,60,4998642,12.0033,8.4829
k141_29198||full,1629,69,4998642,13.8037,8.4738
k141_146170||full,1678,71,4998642,14.2039,8.4648
k141_74156||full,3687,156,4998642,31.2085,8.4645
k141_81077||full,1491,63,4998642,12.6034,8.4530
k141_23187||full,1403,59,4998642,11.8032,8.4128
k141_55193||full,2735,115,4998642,23.0062,8.4118
k141_112115||full,1523,64,4998642,12.8035,8.4067
k141_151171||full,1001,42,4998642,8.4023,8.3939
k141_19862||full,2871,120,4998642,24.0065,8.3617
k141_51189||full,2058,86,4998642,17.2047,8.3599
k141_33818||full,1270,53,4998642,10.6029,8.3487
k141_160535||full,2061,86,4998642,17.2047,8.3477
k141_91404||full,3045,127,4998642,25.4069,8.3438
k141_124352||full,3193,133,4998642,26.6072,8.3330
k141_152270||lt2gene,2137,89,4998642,17.8048,8.3317
k141_137935||full,2067,86,4998642,17.2047,8.3235
k141_173053||full,1154,48,4998642,9.6026,8.3212
k141_76243||full,1227,51,4998642,10.2028,8.3152
k141_9656||full,1661,69,4998642,13.8037,8.3105
k141_58536||full,2680,111,4998642,22.2060,8.2858
k141_107340||full,1426,59,4998642,11.8032,8.2771
k141_10668||full,2128,88,4998642,17.6048,8.2729
k141_128027||full,2347,97,4998642,19.4053,8.2681
k141_107192||full,4186,173,4998642,34.6094,8.2679
k141_153786||full,2952,122,4998642,24.4066,8.2678
k141_169768||full,2108,87,4998642,17.4047,8.2565
k141_133102||full,1601,66,4998642,13.2036,8.2471
k141_68608||full,1504,62,4998642,12.4034,8.2469
k141_22025||full,2527,104,4998642,20.8057,8.2333
k141_57539||full,3867,159,4998642,31.8086,8.2257
k141_70079||full,1365,56,4998642,11.2030,8.2074
k141_50204||full,1829,75,4998642,15.0041,8.2034
k141_175920||full,2489,102,4998642,20.4055,8.1983
k141_147123||full,977,40,4998642,8.0022,8.1906
k141_47579||full,1051,43,4998642,8.6023,8.1849
k141_143749||lt2gene,1321,54,4998642,10.8029,8.1778
k141_42009||full,2008,82,4998642,16.4045,8.1695
k141_41404||full,1838,75,4998642,15.0041,8.1633
k141_12918||full,1866,76,4998642,15.2041,8.1480
k141_37485||full,1596,65,4998642,13.0035,8.1476
k141_160090||full,4985,203,4998642,40.6110,8.1466
k141_76574||full,1474,60,4998642,12.0033,8.1433
k141_111716||full,2162,88,4998642,17.6048,8.1428
k141_87150||full,2532,103,4998642,20.6056,8.1381
k141_82406||full,1525,62,4998642,12.4034,8.1334
k141_169297||full,1994,81,4998642,16.2044,8.1266
k141_35705||full,1502,61,4998642,12.2033,8.1247
k141_129745||full,1355,55,4998642,11.0030,8.1203
k141_76485||full,1677,68,4998642,13.6037,8.1119
k141_40320||full,1579,64,4998642,12.8035,8.1086
k141_141671||full,3135,127,4998642,25.4069,8.1043
k141_124964||full,4547,184,4998642,36.8100,8.0954
k141_120608||full,2150,87,4998642,17.4047,8.0952
k141_8094||full,1632,66,4998642,13.2036,8.0904
k141_39061||full,1311,53,4998642,10.6029,8.0876
k141_156892||lt2gene,1140,46,4998642,9.2025,8.0724
k141_72955||full,1712,69,4998642,13.8037,8.0629
k141_56607||full,3900,157,4998642,31.4085,8.0535
k141_57252||full,1741,70,4998642,14.0038,8.0435
k141_97970||full,1020,41,4998642,8.2022,8.0414
k141_7090||full,1821,73,4998642,14.6040,8.0198
k141_75976||full,2098,84,4998642,16.8046,8.0098
k141_2458||full,1824,73,4998642,14.6040,8.0066
k141_131966||full,3224,129,4998642,25.8070,8.0047
k141_96061||full,2957,118,4998642,23.6064,7.9832
k141_115203||full,1580,63,4998642,12.6034,7.9769
k141_163889||full,2008,80,4998642,16.0043,7.9703
k141_124305||full,4624,184,4998642,36.8100,7.9606
k141_173549||full,1410,56,4998642,11.2030,7.9454
k141_14096||full,1788,71,4998642,14.2039,7.9440
k141_169366||full,1612,64,4998642,12.8035,7.9426
k141_29855||full,1864,74,4998642,14.8040,7.9421
k141_70426||lt2gene,1990,79,4998642,15.8043,7.9419
k141_60707||full,2368,94,4998642,18.8051,7.9413
k141_70825||full,1260,50,4998642,10.0027,7.9387
k141_26410||full,4336,172,4998642,34.4093,7.9357
k141_59826||lt2gene,1084,43,4998642,8.6023,7.9357
k141_98527||full,2370,94,4998642,18.8051,7.9346
k141_94688||full,1589,63,4998642,12.6034,7.9317
k141_1810||full,1236,49,4998642,9.8027,7.9310
k141_139431||full,984,39,4998642,7.8021,7.9290
k141_154782||full,7242,287,4998642,57.4156,7.9281
k141_85623||full,1944,77,4998642,15.4042,7.9240
k141_22136||full,2401,95,4998642,19.0052,7.9155
k141_142334||full,1340,53,4998642,10.6029,7.9126
k141_23451||full,3793,150,4998642,30.0082,7.9115
k141_167749||full,1923,76,4998642,15.2041,7.9065
k141_111935||full,1165,46,4998642,9.2025,7.8991
k141_167333||full,1292,51,4998642,10.2028,7.8969
k141_69425||full,1394,55,4998642,11.0030,7.8931
k141_28809||full,2258,89,4998642,17.8048,7.8852
k141_40741||full,1523,60,4998642,12.0033,7.8813
k141_136897||full,2591,102,4998642,20.4055,7.8755
k141_76539||lt2gene,1652,65,4998642,13.0035,7.8714
k141_35872||full,1017,40,4998642,8.0022,7.8684
k141_153640||full,1553,61,4998642,12.2033,7.8579
k141_171530||full,2089,82,4998642,16.4045,7.8528
k141_1549||full,1529,60,4998642,12.0033,7.8504
k141_6669||full,1835,72,4998642,14.4039,7.8495
k141_37430||lt2gene,1734,68,4998642,13.6037,7.8453
k141_165441||full,1199,47,4998642,9.4026,7.8420
k141_68889||full,2067,81,4998642,16.2044,7.8396
k141_1647||full,3601,141,4998642,28.2077,7.8333
k141_4240||lt2gene,1380,54,4998642,10.8029,7.8282
k141_28030||full,3911,153,4998642,30.6083,7.8262
