name	len	score	pvalue
k141_79409 flag=1 multi=2.0000 len=1958	1958	0.0003833884547930211	0.5742880882241861
k141_136129 flag=1 multi=1.0000 len=1246	1246	0.0016950392164289951	0.4714857617644837
k141_13 flag=1 multi=2.0000 len=1336	1336	0.00032921810634434223	0.584674069038447
k141_124778 flag=1 multi=2.0000 len=1002	1002	0.02191131003201008	0.2885791978246091
k141_158818 flag=1 multi=2.0000 len=1325	1325	0.34731143712997437	0.10841075609940327
k141_68068 flag=1 multi=2.0000 len=1537	1537	1.396533025399549e-05	0.7664665004909736
k141_68070 flag=1 multi=3.0000 len=1136	1136	0.019159799441695213	0.29769997733967823
k141_147474 flag=1 multi=2.0000 len=1767	1767	0.2214599996805191	0.1400596721806783
k141_17 flag=1 multi=3.0000 len=1132	1132	0.0003471665841061622	0.5811994863660397
k141_22694 flag=1 multi=5.0000 len=4980	4980	0.008825729601085186	0.3526512576478586
k141_11352 flag=1 multi=3.0000 len=1434	1434	0.0012552024563774467	0.4927675806329783
k141_113447 flag=1 multi=3.0000 len=1125	1125	0.5913862586021423	0.04345116700657149
k141_90750 flag=1 multi=2.0000 len=1316	1316	0.0006665856926701963	0.5366341868721203
k141_34042 flag=1 multi=3.0000 len=1594	1594	0.003969360142946243	0.40994410453961777
k141_45385 flag=1 multi=2.0000 len=1330	1330	3.8701764424331486e-05	0.7129126066923483
k141_11350 flag=1 multi=2.0000 len=1031	1031	0.19225914776325226	0.14938817131203264
k141_34044 flag=1 multi=1.0000 len=1014	1014	0.19346632063388824	0.14891608127502076
k141_136131 flag=1 multi=3.0000 len=2520	2520	0.04157126322388649	0.2468275549512803
k141_90754 flag=1 multi=3.5662 len=2771	2771	0.03667213022708893	0.2553251756174938
k141_79415 flag=1 multi=4.0000 len=3766	3766	0.4339536428451538	0.08786539768864718
k141_45383 flag=1 multi=2.0000 len=1035	1035	0.0004931548610329628	0.5567452224488254
k141_124789 flag=1 multi=3.0000 len=2214	2214	0.04643360525369644	0.23951960117833673
k141_147476 flag=1 multi=3.0000 len=2588	2588	0.0001557078503537923	0.6311088450789335
k141_22696 flag=1 multi=1.9420 len=1812	1812	0.3119068145751953	0.11643628672860488
k141_10 flag=1 multi=4.0000 len=1072	1072	0.0002843915135599673	0.5938137321549966
k141_113445 flag=1 multi=3.0000 len=2433	2433	9.264716993584443e-09	0.9651975224714857
k141_90755 flag=1 multi=1.0000 len=1338	1338	8.121241990011185e-06	0.7906563939874612
k141_15 flag=1 multi=3.0000 len=1498	1498	0.0015995096182450652	0.47598005891683665
k141_170161 flag=1 multi=2.0000 len=1666	1666	0.016145076602697372	0.3100120855049475
k141_68079 flag=1 multi=2.0000 len=1124	1124	9.744458657223731e-05	0.6602840093662663
k141_102102 flag=1 multi=2.9020 len=3407	3407	0.034756168723106384	0.25879975828990104
k141_18 flag=1 multi=2.0000 len=1364	1364	0.520329475402832	0.05440365586524662
k141_56738 flag=1 multi=3.0000 len=1016	1016	0.026758620515465736	0.27551174560012087
k141_34045 flag=1 multi=3.0000 len=1595	1595	0.9804916977882385	0.00923408112395196
k141_136134 flag=1 multi=3.0000 len=1533	1533	1.631588747841306e-05	0.7585542714706549
k141_11354 flag=1 multi=4.0000 len=3673	3673	0.043471090495586395	0.24391948032328725
k141_136136 flag=1 multi=2.0000 len=1950	1950	0.0026179193519055843	0.44029005211874006
k141_158824 flag=1 multi=3.0000 len=2261	2261	0.001953407423570752	0.46106201374726186
k141_34047 flag=1 multi=2.0000 len=3029	3029	0.01092961709946394	0.33709117002794775
k141_113448 flag=1 multi=2.0000 len=1252	1252	0.0009392242645844817	0.5132374046378125
k141_45395 flag=1 multi=3.0000 len=1314	1314	0.11468756198883057	0.18118815620515144
k141_124793 flag=1 multi=4.0000 len=2070	2070	0.03702765703201294	0.25453206435531384
k141_113454 flag=1 multi=2.0000 len=1090	1090	0.03346042335033417	0.2611790920764408
k141_56737 flag=1 multi=2.0000 len=1496	1496	0.06449547410011292	0.21761462346098648
k141_102106 flag=1 multi=4.0000 len=1317	1317	0.07209386676549911	0.21057104010876954
k141_79418 flag=1 multi=2.0000 len=1036	1036	0.4516994059085846	0.08303119570964575
k141_11356 flag=1 multi=4.0000 len=3875	3875	0.01743798702955246	0.30429035425636375
k141_79417 flag=1 multi=2.0000 len=1228	1228	4.498062367019884e-09	0.9732985875066092
k141_45397 flag=1 multi=2.0000 len=1002	1002	0.022425271570682526	0.28701185890172976
k141_34050 flag=1 multi=3.0000 len=1647	1647	0.00017053574265446514	0.6254437646347911
k141_136137 flag=1 multi=3.0000 len=3012	3012	0.02037908136844635	0.29335674899916914
k141_56740 flag=1 multi=4.0000 len=1958	1958	0.003489492228254676	0.4190837676561674
k141_90757 flag=1 multi=2.0000 len=1147	1147	0.22793295979499817	0.13817131203263086
k141_23 flag=1 multi=2.6796 len=1171	1171	0.6744846105575562	0.035142382355162774
k141_79423 flag=1 multi=2.0000 len=1045	1045	0.07538188248872757	0.20760631467633506
k141_170164 flag=1 multi=3.6048 len=5804	5804	0.006130524445325136	0.3780874688420576
k141_68080 flag=1 multi=3.0000 len=3827	3827	0.12108395248651505	0.1783367323815998
k141_68081 flag=1 multi=3.0000 len=2396	2396	0.002314915880560875	0.44922199561900444
k141_158826 flag=1 multi=3.0000 len=1170	1170	0.00012549024540930986	0.6452526625878088
k141_90765 flag=1 multi=2.0000 len=1064	1064	2.6011366571765393e-05	0.735195256439308
k141_147483 flag=1 multi=3.0000 len=2304	2304	0.0013478047912940383	0.48782007704509406
k141_24 flag=1 multi=2.0000 len=1517	1517	0.003458079183474183	0.4196691593020621
k141_56741 flag=1 multi=1.9405 len=1722	1722	0.04067373275756836	0.24845154467860112
k141_113452 flag=1 multi=3.0000 len=1923	1923	0.024204598739743233	0.28198882090792354
k141_79424 flag=1 multi=2.0000 len=1337	1337	1.363823571409739e-06	0.8614132487347987
k141_124798 flag=1 multi=2.0000 len=1253	1253	8.257368608610705e-05	0.6698579953168668
k141_147487 flag=1 multi=2.0000 len=1131	1131	0.003902849042788148	0.4109638190195634
k141_34059 flag=1 multi=2.0000 len=1112	1112	0.3482693135738373	0.10810861847571569
