contig_id,contig_length,mapped_reads,total_reads,rpm,rpkm
NODE_893_length_1819_cov_2.356576||full,1662,104,4998642,20.8057,12.5184
NODE_2731_length_1326_cov_1.973249||full,1029,64,4998642,12.8035,12.4426
NODE_1946_length_1458_cov_2.116180||full,1456,90,4998642,18.0049,12.3660
NODE_3581_length_1232_cov_2.187766||full,1182,73,4998642,14.6040,12.3553
NODE_3733_length_1220_cov_2.378541||full,1183,73,4998642,14.6040,12.3449
NODE_520_length_2121_cov_2.014037||full,2118,130,4998642,26.0071,12.2791
NODE_1295_length_1630_cov_1.762540||full,1467,90,4998642,18.0049,12.2733
NODE_1644_length_1525_cov_2.221769||full,1517,93,4998642,18.6051,12.2644
NODE_1088_length_1717_cov_2.357401||lt2gene,1717,105,4998642,21.0057,12.2340
NODE_2847_length_1312_cov_2.119332||full,1245,76,4998642,15.2041,12.2122
NODE_4365_length_1171_cov_2.240143||full,1001,61,4998642,12.2033,12.1911
NODE_6845_length_1035_cov_2.030612||full,1034,63,4998642,12.6034,12.1890
NODE_2708_length_1330_cov_2.379608||full,866,52,4998642,10.4028,12.0125
NODE_1671_length_1519_cov_2.061475||lt2gene,1519,91,4998642,18.2049,11.9848
NODE_1241_length_1653_cov_2.001877||full,1609,96,4998642,19.2052,11.9361
NODE_857_length_1837_cov_1.977553||full,1833,109,4998642,21.8059,11.8963
NODE_3829_length_1212_cov_1.896283||full,1211,72,4998642,14.4039,11.8942
NODE_2829_length_1314_cov_2.148531||full,1312,78,4998642,15.6042,11.8935
NODE_6159_length_1064_cov_1.794846||full,849,50,4998642,10.0027,11.7818
NODE_6181_length_1063_cov_2.081349||full,1063,62,4998642,12.4034,11.6683
NODE_4354_length_1172_cov_1.880931||full,1172,68,4998642,13.6037,11.6072
NODE_7287_length_1017_cov_1.885655||full,965,55,4998642,11.0030,11.4021
NODE_1194_length_1669_cov_1.988228||full,1669,95,4998642,19.0052,11.3872
NODE_1258_length_1647_cov_1.901382||full,1644,92,4998642,18.4050,11.1953
NODE_2088_length_1429_cov_1.813683||full,1309,73,4998642,14.6040,11.1566
NODE_725_length_1925_cov_2.355615||full,1535,85,4998642,17.0046,11.0779
NODE_4939_length_1132_cov_1.756732||full,1129,61,4998642,12.2033,10.8090
NODE_2908_length_1305_cov_1.920000||full,1131,61,4998642,12.2033,10.7898
NODE_3491_length_1241_cov_2.006745||lt2gene,1241,66,4998642,13.2036,10.6395
NODE_5205_length_1114_cov_2.345609||full,1111,59,4998642,11.8032,10.6239
NODE_4125_length_1188_cov_1.843778||full,1058,56,4998642,11.2030,10.5889
NODE_3919_length_1204_cov_2.177546||full,1146,60,4998642,12.0033,10.4740
NODE_7315_length_1016_cov_1.958377||full,938,49,4998642,9.8027,10.4506
NODE_2606_length_1343_cov_1.841615||full,1342,70,4998642,14.0038,10.4350
NODE_7242_length_1019_cov_2.001037||full,1018,53,4998642,10.6029,10.4154
NODE_3209_length_1270_cov_1.696296||full,1053,54,4998642,10.8029,10.2592
NODE_3007_length_1294_cov_1.748991||full,1217,62,4998642,12.4034,10.1918
NODE_1029_length_1742_cov_1.900415||full,1740,88,4998642,17.6048,10.1177
NODE_5826_length_1080_cov_2.183415||full,819,41,4998642,8.2022,10.0149
NODE_882_length_1825_cov_1.855932||full,1807,90,4998642,18.0049,9.9640
NODE_2660_length_1337_cov_2.110764||full,1292,64,4998642,12.8035,9.9098
NODE_6848_length_1035_cov_1.688776||full,1033,51,4998642,10.2028,9.8768
NODE_2793_length_1318_cov_1.529691||lt2gene,1318,65,4998642,13.0035,9.8661
NODE_1361_length_1607_cov_1.571521||full,1605,79,4998642,15.8043,9.8469
NODE_383_length_2359_cov_1.778646||full,2357,116,4998642,23.2063,9.8457
NODE_1357_length_1608_cov_1.590470||full,1586,78,4998642,15.6042,9.8387
NODE_2142_length_1420_cov_1.674725||full,1322,65,4998642,13.0035,9.8363
NODE_6506_length_1049_cov_1.654930||full,1045,51,4998642,10.2028,9.7634
